,w1,w2,combo,lem1,lem2,phrase
3,gay,conversion,gay conversion,gay,conversion,gay conversion
4,conversion,therapy,conversion therapy,conversion,therapy,conversion therapy
7,still,legal,still legal,still,legal,still legal
8,legal,despite,legal despite,legal,despite,legal despite
9,despite,dangers,despite dangers,despite,danger,despite danger
12,therapist,made,therapist made,therapist,made,therapist made
22,rubber,band,rubber band,rubber,band,rubber band
23,band,around,band around,band,around,band around
41,help,curb,help curb,help,curb,help curb
55,quit,alcohol,quit alcohol,quit,alcohol,quit alcohol
65,sexual,thoughts,sexual thoughts,sexual,thought,sexual thought
80,therapist,made,therapist made,therapist,made,therapist made
83,strange,request,strange request,strange,request,strange request
105,little,bit,little bit,little,bit,little bit
106,bit,aroused,bit aroused,bit,aroused,bit aroused
134,ammonia,capsule,ammonia capsule,ammonia,capsule,ammonia capsule
135,capsule,underneath,capsule underneath,capsule,underneath,capsule underneath
148,burning,sensation,burning sensation,burning,sensation,burning sensation
155,aversion,tactics,aversion tactics,aversion,tactic,aversion tactic
156,tactics,failed,tactics failed,tactic,failed,tactic failed
160,exorcisms,performed,exorcisms performed,exorcism,performed,exorcism performed
178,laying,hands,laying hands,laying,hand,laying hand
201,ridiculous,bullshit,ridiculous bullshit,ridiculous,bullshit,ridiculous bullshit
220,also,known,also known,also,known,also known
227,widely,discredited,widely discredited,widely,discredited,widely discredited
237,many,parts,many parts,many,part,many part
246,battleground,issue,battleground issue,battleground,issue,battleground issue
249,gay,rights,gay rights,gay,right,gay right
250,rights,campaigners,rights campaigners,right,campaigner,right campaigner
260,curtail,religious,curtail religious,curtail,religious,curtail religious
261,religious,freedom,religious freedom,religious,freedom,religious freedom
264,conservatives,seek,conservatives seek,conservative,seek,conservative seek
267,push,back,push back,push,back,push back
270,recent,advances,recent advances,recent,advance,recent advance
277,transgender,people,transgender people,transgender,people,transgender people
286,implicitly,therapy,implicitly therapy,implicitly,therapy,implicitly therapy
287,therapy,plank,therapy plank,therapy,plank,therapy plank
292,party,platform,party platform,party,platform,party platform
316,conversion,therapy,conversion therapy,conversion,therapy,conversion therapy
320,platform,plans,platform plans,platform,plan,platform plan
329,gay,marriage,gay marriage,gay,marriage,gay marriage
332,gay,rights,gay rights,gay,right,gay right
335,gay,equality,gay equality,gay,equality,gay equality
337,really,doubling,really doubling,really,doubling,really doubling
349,rolling,back,rolling back,rolling,back,rolling back
364,us,like,us like,u,like,u like
378,changing,hearts,changing hearts,changing,heart,changing heart
385,court,heard,court heard,court,heard,court heard
402,licensed,therapists,licensed therapists,licensed,therapist,licensed therapist
403,therapists,attempting,therapists attempting,therapist,attempting,therapist attempting
408,sexual,orientation,sexual orientation,sexual,orientation,sexual orientation
411,practice,gained,practice gained,practice,gained,practice gained
412,gained,fresh,gained fresh,gained,fresh,gained fresh
413,fresh,attention,fresh attention,fresh,attention,fresh attention
425,raise,legal,raise legal,raise,legal,raise legal
426,legal,fees,legal fees,legal,fee,legal fee
432,pray,away,pray away,pray,away,pray away
442,allegedly,sent,allegedly sent,allegedly,sent,allegedly sent
450,campaign,raised,campaign raised,campaign,raised,campaign raised
477,creation,denying,creation denying,creation,denying,creation denying
481,provide,conversion,provide conversion,provide,conversion,provide conversion
482,conversion,treatments,conversion treatments,conversion,treatment,conversion treatment
509,later,convicted,later convicted,later,convicted,later convicted
512,sexually,assaulting,sexually assaulting,sexually,assaulting,sexually assaulting
513,assaulting,another,assaulting another,assaulting,another,assaulting another
514,another,client,another client,another,client,another client
518,corporate,still,corporate still,corporate,still,corporate still
519,still,lives,still lives,still,life,still life
534,tell,anybody,tell anybody,tell,anybody,tell anybody
565,type,weekend,type weekend,type,weekend,type weekend
576,participants,underwent,participants underwent,participant,underwent,participant underwent
577,underwent,intense,underwent intense,underwent,intense,underwent intense
578,intense,physical,intense physical,intense,physical,intense physical
579,physical,activity,physical activity,physical,activity,physical activity
582,really,try,really try,really,try,really try
590,particularly,tough,particularly tough,particularly,tough,particularly tough
610,painful,experiences,painful experiences,painful,experience,painful experience
611,experiences,turned,experiences turned,experience,turned,experience turned
620,becoming,friends,becoming friends,becoming,friend,becoming friend
624,gay,man,gay man,gay,man,gay man
632,contrasting,path,contrasting path,contrasting,path,contrasting path
643,religious,household,religious household,religious,household,religious household
650,late,teens,late teens,late,teen,late teen
678,undue,judgment,undue judgment,undue,judgment,undue judgment
681,gay,community,gay community,gay,community,gay community
685,room,full,room full,room,full,room full
688,teenage,boys,teenage boys,teenage,boy,teenage boy
696,group,leader,group leader,group,leader,group leader
703,many,times,many times,many,time,many time
724,wear,makeup,wear makeup,wear,makeup,wear makeup
753,navy,veteran,navy veteran,navy,veteran,navy veteran
770,tactics,began,tactics began,tactic,began,tactic began
777,group,leaders,group leaders,group,leader,group leader
778,leaders,prayed,leaders prayed,leader,prayed,leader prayed
782,really,feel,really feel,really,feel,really feel
783,feel,like,feel like,feel,like,feel like
821,even,participate,even participate,even,participate,even participate
835,executive,director,executive director,executive,director,executive director
847,leaving,homosexuality,leaving homosexuality,leaving,homosexuality,leaving homosexuality
852,confidentiality,tell,confidentiality tell,confidentiality,tell,confidentiality tell
874,something,uncommon,something uncommon,something,uncommon,something uncommon
886,willingly,come,willingly come,willingly,come,willingly come
889,us,asking,us asking,u,asking,u asking
902,sexual,practices,sexual practices,sexual,practice,sexual practice
910,foresee,someone,foresee someone,foresee,someone,foresee someone
911,someone,asking,someone asking,someone,asking,someone asking
917,stating,something,stating something,stating,something,stating something
921,masturbation,habits,masturbation habits,masturbation,habit,masturbation habit
924,something,like,something like,something,like,something like
930,discipleship,ministry,discipleship ministry,discipleship,ministry,discipleship ministry
934,reparative,therapy,reparative therapy,reparative,therapy,reparative therapy
935,therapy,group,therapy group,therapy,group,therapy group
943,discipleship,group,discipleship group,discipleship,group,discipleship group
946,helps,people,helps people,help,people,help people
973,accountability,group,accountability group,accountability,group,accountability group
1007,gay,practices,gay practices,gay,practice,gay practice
1045,ravenous,appetite,ravenous appetite,ravenous,appetite,ravenous appetite
1055,healthy,either,healthy either,healthy,either,healthy either
1056,either,way,either way,either,way,either way
1090,become,straight,become straight,become,straight,become straight
1091,straight,caused,straight caused,straight,caused,straight caused
1092,caused,trauma,caused trauma,caused,trauma,caused trauma
1109,felt,like,felt like,felt,like,felt like
1110,like,every,like every,like,every,like every
1111,every,time,every time,every,time,every time
1119,like,opening,like opening,like,opening,like opening
1130,loaded,gun,loaded gun,loaded,gun,loaded gun
1144,spiritual,realisation,spiritual realisation,spiritual,realisation,spiritual realisation
1165,conversion,therapy,conversion therapy,conversion,therapy,conversion therapy
1187,nationwide,law,nationwide law,nationwide,law,nationwide law
1190,adopted,various,adopted various,adopted,various,adopted various
1191,various,strategies,various strategies,various,strategy,various strategy
1196,stymie,practitioners,stymie practitioners,stymie,practitioner,stymie practitioner
1216,consumer,fraud,consumer fraud,consumer,fraud,consumer fraud
1217,fraud,complaint,fraud complaint,fraud,complaint,fraud complaint
1227,group,called,group called,group,called,group called
1232,runs,programmes,runs programmes,run,programme,run programme
1241,deceiving,customers,deceiving customers,deceiving,customer,deceiving customer
1246,conversion,therapy,conversion therapy,conversion,therapy,conversion therapy
1247,therapy,works,therapy works,therapy,work,therapy work
1254,false,premise,false premise,false,premise,false premise
1261,mental,illness,mental illness,mental,illness,mental illness
1264,disorder,caused,disorder caused,disorder,caused,disorder caused
