,w1,w2,combo,lem1,lem2,phrase
6,voters,legalized,voters legalized,voter,legalized,voter legalized
7,legalized,recreational,legalized recreational,legalized,recreational,legalized recreational
8,recreational,marijuana,recreational marijuana,recreational,marijuana,recreational marijuana
11,first,recreational,first recreational,first,recreational,first recreational
12,recreational,marijuana,recreational marijuana,recreational,marijuana,recreational marijuana
13,marijuana,shop,marijuana shop,marijuana,shop,marijuana shop
14,shop,opened,shop opened,shop,opened,shop opened
15,opened,nearly,opened nearly,opened,nearly,opened nearly
23,growing,body,growing body,growing,body,growing body
33,recreational,marijuana,recreational marijuana,recreational,marijuana,recreational marijuana
46,smoke,weed,smoke weed,smoke,weed,smoke weed
52,official,statistics,official statistics,official,statistic,official statistic
60,federal,data,federal data,federal,data,federal data
61,data,shows,data shows,data,show,data show
62,shows,nationwide,shows nationwide,show,nationwide,show nationwide
68,also,backed,also backed,also,backed,also backed
73,federal,surveys,federal surveys,federal,survey,federal survey
76,drug,use,drug use,drug,use,drug use
91,consistent,enough,consistent enough,consistent,enough,consistent enough
94,longtime,skeptics,longtime skeptics,longtime,skeptic,longtime skeptic
100,marijuana,legalization,marijuana legalization,marijuana,legalization,marijuana legalization
111,expressing,surprise,expressing surprise,expressing,surprise,expressing surprise
117,predicted,based,predicted based,predicted,based,predicted based
129,decreasing,perceptions,decreasing perceptions,decreasing,perception,decreasing perception
130,perceptions,among,perceptions among,perception,among,perception among
131,among,teenagers,among teenagers,among,teenager,among teenager
164,flies,somewhat,flies somewhat,fly,somewhat,fly somewhat
171,new,conventional,new conventional,new,conventional,new conventional
172,conventional,marijuana,conventional marijuana,conventional,marijuana,conventional marijuana
173,marijuana,wisdom,marijuana wisdom,marijuana,wisdom,marijuana wisdom
175,marijuana,use,marijuana use,marijuana,use,marijuana use
176,use,among,use among,use,among,use among
177,among,high,among high,among,high,among high
178,high,school,high school,high,school,high school
179,school,students,school students,school,student,school student
199,marijuana,use,marijuana use,marijuana,use,marijuana use
200,use,increased,use increased,use,increased,use increased
205,percent,among,percent among,percent,among,percent among
211,authors,posit,authors posit,author,posit,author posit
214,reduced,stigma,reduced stigma,reduced,stigma,reduced stigma
217,marijuana,use,marijuana use,marijuana,use,marijuana use
221,factor,leading,factor leading,factor,leading,factor leading
229,study,suggests,study suggests,study,suggests,study suggests
237,reduced,stigma,reduced stigma,reduced,stigma,reduced stigma
240,perceived,risk,perceived risk,perceived,risk,perceived risk
244,lead,author,lead author,lead,author,lead author
257,news,release,news release,news,release,news release
262,younger,adolescents,younger adolescents,younger,adolescent,younger adolescent
276,study,found,study found,study,found,study found
281,marijuana,use,marijuana use,marijuana,use,marijuana use
282,use,among,use among,use,among,use among
298,old,enough,old enough,old,enough,old enough
302,already,formed,already formed,already,formed,already formed
303,formed,attitudes,formed attitudes,formed,attitude,formed attitude
306,beliefs,related,beliefs related,belief,related,belief related
309,marijuana,use,marijuana use,marijuana,use,marijuana use
312,legal,change,legal change,legal,change,legal change
314,study,also,study also,study,also,study also
315,also,found,also found,also,found,also found
320,use,among,use among,use,among,use among
321,among,students,among students,among,student,among student
325,grade,level,grade level,grade,level,grade level
329,authors,write,authors write,author,write,author write
335,robust,medical,robust medical,robust,medical,robust medical
