,phrases,w1,w2
87842,abandoned plan,abandon,plan
31343,abandoned house,abandon,house
75307,abandoned child,abandon,child
53290,abandoned car,abandon,car
41431,abandoned home,abandon,home
15912,abandoned building,abandon,building
47432,abortion advocate,abortion,advocate
32697,abortion issue,abortion,issue
67275,abortion illegal,abortion,illegal
41997,abortion care,abortion,care
88781,abortion group,abortion,group
51895,abortion overseas,abortion,overseas
50529,abortion policy,abortion,policy
71601,abortion bill,abortion,bill
8853,abortion service,abortion,service
1051,abortion right,abortion,right
17125,abortion giant,abortion,giant
50602,abortion doctor,abortion,doctor
16664,abortion rate,abortion,rate
98866,abortion question,abortion,question
51672,abortion decision,abortion,decision
4139,abortion industry,abortion,industry
79673,abortion per,abortion,per
54286,abortion comment,abortion,comment
18140,abortion ban,abortion,ban
62652,abortion legal,abortion,legal
32299,abortion case,abortion,case
47043,abortion regulation,abortion,regulation
28570,abortion debate,abortion,debate
98446,abortion fund,abortion,fund
53966,abortion coverage,abortion,coverage
71110,abortion without,abortion,without
5914,abortion business,abortion,business
26430,abortion chain,abortion,chain
22681,abortion access,abortion,access
8183,abortion law,abortion,law
56083,abuse treatment,abuse,treatment
27917,abuse problem,abuse,problem
14734,abuse allegation,abuse,allegation
56080,abuse online,abuse,online
18432,abuse case,abuse,case
66526,abuse report,abuse,report
76983,abuse policy,abuse,policy
47027,abuse charge,abuse,charge
15518,abuse victim,abuse,victim
42734,abuse claim,abuse,claim
56658,abuse woman,abuse,woman
67338,abuse within,abuse,within
16068,abuse scandal,abuse,scandal
34148,accepting money,accept,money
20225,accept responsibility,accept,responsibility
60989,accept whatever,accept,whatever
73054,accept money,accept,money
57724,accepting foreign,accept,foreign
99414,accept defeat,accept,defeat
83947,accept new,accept,new
78325,accept full,accept,full
98143,accepting application,accept,application
95836,accept people,accept,people
19690,accept foreign,accept,foreign
81369,accepting cash,accept,cash
85419,accepting new,accept,new
98890,accept federal,accept,federal
94332,accept le,accept,le
27960,accepting refugee,accept,refugee
64259,accepting payment,accept,payment
41810,accepting donation,accept,donation
48228,accept payment,accept,payment
75301,accept politician,accept,politician
59165,accepting gift,accept,gift
79896,accept donation,accept,donation
34841,accept refugee,accept,refugee
67071,acceptable form,acceptable,form
94727,acceptable political,acceptable,political
41041,acceptable behavior,acceptable,behavior
79712,acceptable level,acceptable,level
76773,acceptable way,acceptable,way
42608,accepted responsibility,accepted,responsibility
93949,accepted practice,accepted,practice
21210,accepted donation,accepted,donation
47497,accepted money,accepted,money
54272,accepted medical,accepted,medical
98207,access issue,access,issue
54205,access information,access,information
25650,access road,access,road
23827,access point,access,point
22683,access program,access,program
31320,accident investigation,accident,investigation
77508,accident report,accident,report
99170,accident last,accident,last
25811,accident happened,accident,happen
58761,accident caused,accident,cause
24094,accident occurred,accident,occur
23032,accident involving,accident,involve
76542,accident scene,accident,scene
93783,account opened,account,open
45853,account since,account,since
97798,account private,account,private
46413,account called,account,call
25952,account information,account,information
90724,account run,account,run
61542,account suspended,account,suspend
78529,account showed,account,show
69267,account last,account,last
74771,account published,account,publish
70455,account set,account,set
64217,account given,account,give
34092,account show,account,show
13956,account without,account,without
22930,account posted,account,post
62389,account used,account,use
42446,account tweeted,account,tweet
60961,accurate way,accurate,way
61323,accurate picture,accurate,picture
60470,accurate statement,accurate,statement
79203,accurate result,accurate,result
57140,accurate data,accurate,data
11517,accurate information,accurate,information
15773,accused student,accuse,student
93887,accused police,accuse,police
18486,accused former,accuse,former
32687,accused killer,accuse,killer
91670,across eastern,across,eastern
35715,across racial,across,racial
92493,across platform,across,platform
53647,across industry,across,industry
76371,across country,across,country
87883,across international,across,international
9020,across town,across,town
61623,across culture,across,culture
41259,across various,across,various
86795,across region,across,region
11688,across multiple,across,multiple
11062,across border,across,border
87082,across political,across,political
28453,across campus,across,campus
61081,across time,across,time
18231,across several,across,several
3403,across state,across,state
99199,across age,across,age
12209,across party,across,party
72981,across something,across,something
69866,across government,across,government
59020,across generation,across,generation
93216,across race,across,race
36692,across every,across,every
82435,across large,across,large
6651,across social,across,social
74461,across part,across,part
78579,across national,across,national
28851,across different,across,different
91901,across sport,across,sport
4688,acting attorney,act,attorney
12043,acting career,act,career
44008,act independently,act,independently
44891,act within,act,within
13032,acting president,act,president
41405,acting chief,act,chief
37523,acting head,act,head
44266,acting award,act,award
80198,acting within,act,within
26026,acting assistant,act,assistant
87633,acting skill,act,skill
87721,acting nomination,act,nomination
76894,acting class,act,class
4863,act together,act,together
88758,acting performance,act,performance
13141,act quickly,act,quickly
68130,act immediately,act,immediately
20495,act without,act,without
76584,acting aggressively,act,aggressively
75059,acting role,act,role
22202,acting deputy,act,deputy
35842,act committed,act,commit
38700,act fast,act,fast
35815,act upon,act,upon
82458,acting job,act,job
5880,acting director,act,director
27863,acting nominee,act,nominee
21852,action film,action,film
2846,action committee,action,committee
41398,action speak,action,speak
12070,action figure,action,figure
47925,action came,action,come
47065,action come,action,come
56402,action must,action,must
59121,action show,action,show
32685,action suit,action,suit
94468,action case,action,case
30055,action today,action,today
19869,action star,action,star
73048,action immediately,action,immediately
55796,action last,action,last
87062,action set,action,set
36186,action scene,action,scene
61281,action regarding,action,regard
29238,action since,action,since
62193,action group,action,group
12929,action plan,action,plan
