word,start_count,end_count,after,all_words
management,24,26,"['team' 'company' 'style' 'firm' 'system' 'fee' 'skill' 'position' 'board'
 'official' 'agency' 'consulting' 'plan' 'program' 'role' 'change'
 'committee' 'tool' 'problem' 'issue' 'meeting']",50
normal,43,12,"['life' 'people' 'time' 'person' 'level' 'human' 'rule' 'political'
 'thing' 'way' 'business' 'candidate' 'course' 'operation' 'part'
 'election' 'weight' 'rate' 'process' 'politician' 'roof' 'president'
 'practice' 'relation' 'behavior' 'condition' 'work' 'routine' 'country'
 'state' 'campaign' 'family' 'standard' 'activity' 'presidential'
 'childhood' 'democratic' 'head']",55
written,23,27,"['statement' 'testimony' 'response' 'question' 'book' 'several' 'word'
 'law' 'record' 'policy' 'test' 'report' 'something' 'request' 'opinion'
 'letter' 'across' 'today' 'agreement' 'specifically' 'answer']",50
wounded,9,11,['people' 'soldier' 'officer' 'veteran' 'man' 'hundred' 'another' 'victim'],20
born,10,17,['citizen' 'outside' 'without' 'classified' 'female' 'male' 'free' 'today'],27
star,24,58,"['power' 'player' 'turn' 'system' 'witness' 'turned' 'forward' 'wrote'
 'including' 'rating' 'within' 'known' 'wide' 'guard' 'posted' 'called']",82
provides,18,8,"['free' 'service' 'expert' 'additional' 'support' 'access' 'health'
 'evidence' 'information' 'training' 'housing' 'strong' 'abortion'
 'financial']",26
global,162,25,"['economy' 'market' 'financial' 'temperature' 'trade' 'community'
 'economic' 'elite' 'climate' 'health' 'power' 'war' 'leader' 'leadership'
 'security' 'stage' 'order' 'effort' 'business' 'affair' 'threat' 'oil'
 'audience' 'network' 'issue' 'reach' 'supply' 'terrorism' 'growth'
 'population' 'brand' 'terror' 'crisis' 'sport' 'average' 'competition'
 'event' 'medium' 'problem' 'politics' 'head' 'trend' 'operation'
 'governing' 'citizen' 'terrorist' 'demand' 'jihadist' 'conflict'
 'political' 'movement' 'challenge' 'attention' 'expansion' 'energy'
 'company' 'player' 'public' 'agreement' 'system' 'policy' 'role' 'city'
 'investment' 'news' 'institution' 'special' 'strategy' 'mean' 'interest'
 'coalition' 'concern' 'influence' 'response' 'impact' 'emission'
 'refugee' 'peace' 'marketing' 'bank' 'banking' 'charity' 'celebrity'
 'action' 'capital' 'outrage' 'force' 'level' 'chief' 'consensus' 'food'
 'internet' 'sale' 'right' 'standard' 'deal' 'nuclear' 'finance'
 'industry' 'stock' 'body' 'fight' 'box' 'corporate' 'asset' 'standing'
 'campaign' 'culture' 'military' 'success' 'trading' 'wealth'
 'environmental' 'recall' 'travel' 'sea' 'responsibility' 'hit'
 'emergency' 'consulting' 'conspiracy' 'free' 'appeal' 'price' 'arm'
 'society' 'government']",187
support,89,185,"['among' 'group' 'behind' 'system' 'staff' 'network' 'abortion'
 'legislation' 'service' 'base' 'within' 'terrorism' 'woman' 'people'
 'local' 'either' 'come' 'gun' 'free' 'team' 'student' 'policy' 'marriage'
 'someone' 'candidate' 'across' 'effort' 'amnesty' 'program' 'law' 'since'
 'new' 'gay' 'family' 'came' 'immigration' 'police' 'open' 'legal'
 'former' 'banning' 'provided' 'role' 'building' 'animal' 'state'
 'terrorist' 'victim' 'research' 'beyond' 'democracy' 'everything'
 'allowing' 'center' 'without' 'universal' 'organization' 'life' 'mean'
 'increased' 'given' 'inside' 'claim' 'border' 'black' 'increasing'
 'reform' 'giving' 'measure' 'outside' 'necessary' 'civil' 'school'
 'worker' 'taking' 'liberal' 'transgender' 'another' 'tax']",274
bar,18,38,"['citizen' 'owner' 'entry' 'people' 'elected' 'fight' 'federal' 'called'
 'area' 'code' 'discrimination' 'near' 'refugee']",56
mile,22,11,"['away' 'per' 'north' 'south' 'east' 'west' 'outside' 'across' 'long'
 'wide' 'along' 'around' 'high' 'deep' 'without']",33
